"ActivityDateTime","ActivityDisplayName","AdditionalDetails.1.Key","AdditionalDetails.1.Value","AdditionalDetails.1.AdditionalProperties","AdditionalDetails.2.Key","AdditionalDetails.2.Value","AdditionalDetails.2.AdditionalProperties","Category","CorrelationId","Id","InitiatedBy.App.AppId","InitiatedBy.App.DisplayName","InitiatedBy.App.ServicePrincipalId","InitiatedBy.App.ServicePrincipalName","InitiatedBy.App.AdditionalProperties","InitiatedBy.User.DisplayName","InitiatedBy.User.HomeTenantId","InitiatedBy.User.HomeTenantName","InitiatedBy.User.IPAddress","InitiatedBy.User.Id","InitiatedBy.User.UserPrincipalName","InitiatedBy.User.AdditionalProperties","InitiatedBy.AdditionalProperties","LoggedByService","OperationType","Result","ResultReason","TargetResources.1.DisplayName","TargetResources.1.GroupType","TargetResources.1.Id","TargetResources.1.ModifiedProperties.1.DisplayName","TargetResources.1.ModifiedProperties.1.NewValue","TargetResources.1.ModifiedProperties.1.OldValue","TargetResources.1.ModifiedProperties.1.AdditionalProperties","TargetResources.1.ModifiedProperties.2.DisplayName","TargetResources.1.ModifiedProperties.2.NewValue","TargetResources.1.ModifiedProperties.2.OldValue","TargetResources.1.ModifiedProperties.2.AdditionalProperties","TargetResources.1.ModifiedProperties.3.DisplayName","TargetResources.1.ModifiedProperties.3.NewValue","TargetResources.1.ModifiedProperties.3.OldValue","TargetResources.1.ModifiedProperties.3.AdditionalProperties","TargetResources.1.ModifiedProperties.4.DisplayName","TargetResources.1.ModifiedProperties.4.NewValue","TargetResources.1.ModifiedProperties.4.OldValue","TargetResources.1.ModifiedProperties.4.AdditionalProperties","TargetResources.1.ModifiedProperties.5.DisplayName","TargetResources.1.ModifiedProperties.5.NewValue","TargetResources.1.ModifiedProperties.5.OldValue","TargetResources.1.ModifiedProperties.5.AdditionalProperties","TargetResources.1.ModifiedProperties.6.DisplayName","TargetResources.1.ModifiedProperties.6.NewValue","TargetResources.1.ModifiedProperties.6.OldValue","TargetResources.1.ModifiedProperties.6.AdditionalProperties","TargetResources.1.Type","TargetResources.1.UserPrincipalName","TargetResources.1.AdditionalProperties","UserAgent","AdditionalProperties"
"2025-11-01 01:20:11","Consent to application","User-Agent","EvoSTS","","AppId","36119495-8077-44b1-87dc-ebdc3d01e10d","","ApplicationManagement","b3b3878a-c02a-47a8-8e52-9cb4d6ab2fcb","Directory_b3b3878a-c02a-47a8-8e52-9cb4d6ab2fcb_32CA0_11946961","","","","","","Azure ESTS Service","","","40.126.62.112","5d3ec9ce-5106-4e8e-8071-22bae2035f17","powell@acme.com","","","Core Directory","Assign","success","","Microsoft Graph Command Line Tools","","612dccf0-7cb8-4eb9-84ac-f23046816a07","ConsentContext.IsAdminConsent","""True""","","","ConsentContext.IsAppOnly","""False""","","","ConsentContext.OnBehalfOfAll","""False""","","","ConsentContext.Tags","""WindowsAzureActiveDirectoryIntegratedApp""","","","ConsentAction.Permissions","""[[Id: 0RB-ua6U7kejfNumEPzwnbYufEAFwSVOsFeZ47KKVVW4C1H1ozG2TYkmhZSPRlLO, ClientId: 612dccf0-7cb8-4eb9-84ac-f23046816a07, PrincipalId: 5d3ec9ce-5106-4e8e-8071-22bae2035f17, ResourceId: 3c953ed9-ce52-4064-8eef-21a4d13632a8, ConsentType: Principal, Scope:  UserAuthenticationMethod.ReadWrite.All Directory.ReadWrite.All User.ReadWrite.All Group.ReadWrite.All GroupMember.Read.All Policy.Read.All Policy.ReadWrite.ConditionalAccess Application.ReadWrite.All Files.ReadWrite.All Sites.ReadWrite.All AuditLog.Read.All Agreement.Read.All IdentityRiskEvent.Read.All IdentityRiskyUser.ReadWrite.All openid profile offline_access, CreatedDateTime: , LastModifiedDateTime ]] => [[Id: 0RB-ua6U7kejfNumEPzwnbYufEAFwSVOsFeZ47KKVVW4C1H1ozG2TYkmhZSPRlLO, ClientId: 612dccf0-7cb8-4eb9-84ac-f23046816a07, PrincipalId: 5d3ec9ce-5106-4e8e-8071-22bae2035f17, ResourceId: 3c953ed9-ce52-4064-8eef-21a4d13632a8, ConsentType: Principal, Scope:  UserAuthenticationMethod.ReadWrite.All Directory.ReadWrite.All User.ReadWrite.All Group.ReadWrite.All GroupMember.Read.All Policy.Read.All Policy.ReadWrite.ConditionalAccess Application.ReadWrite.All Files.ReadWrite.All Sites.ReadWrite.All AuditLog.Read.All Agreement.Read.All IdentityRiskEvent.Read.All IdentityRiskyUser.ReadWrite.All openid profile offline_access, CreatedDateTime: , LastModifiedDateTime ]]; ""","","","TargetId.ServicePrincipalNames","""36119495-8077-44b1-87dc-ebdc3d01e10d""","","","ServicePrincipal","","","",""
"2025-11-01 01:20:11","Remove delegated permission grant","User-Agent","EvoSTS","","AppId","00000003-0000-0000-c000-000000000000","","ApplicationManagement","b3b3878a-c02a-47a8-8e52-9cb4d6ab2fcb","Directory_b3b3878a-c02a-47a8-8e52-9cb4d6ab2fcb_32CA0_11946945","","","","","","Azure ESTS Service","","","40.126.62.112","5d3ec9ce-5106-4e8e-8071-22bae2035f17","powell@acme.com","","","Core Directory","Unassign","success","","Microsoft Graph","","3c953ed9-ce52-4064-8eef-21a4d13632a8","DelegatedPermissionGrant.Scope",""" UserAuthenticationMethod.ReadWrite.All Directory.ReadWrite.All User.ReadWrite.All Group.ReadWrite.All GroupMember.Read.All Policy.Read.All Policy.ReadWrite.ConditionalAccess Application.ReadWrite.All Files.ReadWrite.All Sites.ReadWrite.All AuditLog.Read.All Agreement.Read.All IdentityRiskEvent.Read.All IdentityRiskyUser.ReadWrite.All openid profile offline_access Mail.Send Mail.Read SecurityEvents.ReadWrite.All Directory.AccessAsUser.All AppRoleAssignment.ReadWrite.All""",""" UserAuthenticationMethod.ReadWrite.All Directory.ReadWrite.All User.ReadWrite.All Group.ReadWrite.All GroupMember.Read.All Policy.Read.All Policy.ReadWrite.ConditionalAccess Application.ReadWrite.All Files.ReadWrite.All Sites.ReadWrite.All AuditLog.Read.All Agreement.Read.All IdentityRiskEvent.Read.All IdentityRiskyUser.ReadWrite.All openid profile offline_access""","","DelegatedPermissionGrant.ConsentType","""Principal""","""Principal""","","ServicePrincipal.ObjectID","""612dccf0-7cb8-4eb9-84ac-f23046816a07""","","","ServicePrincipal.DisplayName","","","","ServicePrincipal.AppId","","","","ServicePrincipal.Name","","","","ServicePrincipal","","","",""
"2025-11-01 01:20:11","Add delegated permission grant","User-Agent","EvoSTS","","AppId","00000003-0000-0000-c000-000000000000","","ApplicationManagement","b3b3878a-c02a-47a8-8e52-9cb4d6ab2fcb","Directory_b3b3878a-c02a-47a8-8e52-9cb4d6ab2fcb_32CA0_11946933","","","","","","Azure ESTS Service","","","40.126.62.112","5d3ec9ce-5106-4e8e-8071-22bae2035f17","powell@acme.com","","","Core Directory","Assign","success","","Microsoft Graph","","3c953ed9-ce52-4064-8eef-21a4d13632a8","DelegatedPermissionGrant.Scope",""" UserAuthenticationMethod.ReadWrite.All Directory.ReadWrite.All User.ReadWrite.All Group.ReadWrite.All GroupMember.Read.All Policy.Read.All Policy.ReadWrite.ConditionalAccess Application.ReadWrite.All Files.ReadWrite.All Sites.ReadWrite.All AuditLog.Read.All Agreement.Read.All IdentityRiskEvent.Read.All IdentityRiskyUser.ReadWrite.All openid profile offline_access Mail.Send Mail.Read SecurityEvents.ReadWrite.All Directory.AccessAsUser.All AppRoleAssignment.ReadWrite.All""",""" UserAuthenticationMethod.ReadWrite.All Directory.ReadWrite.All User.ReadWrite.All Group.ReadWrite.All GroupMember.Read.All Policy.Read.All Policy.ReadWrite.ConditionalAccess Application.ReadWrite.All Files.ReadWrite.All Sites.ReadWrite.All AuditLog.Read.All Agreement.Read.All IdentityRiskEvent.Read.All IdentityRiskyUser.ReadWrite.All openid profile offline_access""","","DelegatedPermissionGrant.ConsentType","""Principal""","""Principal""","","ServicePrincipal.ObjectID","""612dccf0-7cb8-4eb9-84ac-f23046816a07""","","","ServicePrincipal.DisplayName","","","","ServicePrincipal.AppId","","","","ServicePrincipal.Name","","","","ServicePrincipal","","","",""
"2025-11-01 01:20:08","Update user","UserType","Member","","","","","UserManagement","242d0beb-12d7-40b2-8b70-ac82c6f9cbe1","Directory_242d0beb-12d7-40b2-8b70-ac82c6f9cbe1_WHXE6_215700854","","Azure MFA StrongAuthenticationService","d3fcabce-d428-47ae-8acd-7945458386a5","","","","","","","","","","","Core Directory","Update","success","","","","5d3ec9ce-5106-4e8e-8071-22bae2035f17","StrongAuthenticationPhoneAppDetail","[{""DeviceName"":""NO_DEVICE"",""DeviceToken"":""NO_DEVICE_TOKEN"",""DeviceTag"":""SoftwareTokenActivated"",""PhoneAppVersion"":""NO_PHONE_APP_VERSION"",""OathTokenTimeDrift"":0,""DeviceId"":""0dfd9c70-159e-4aa3-85d1-a03b95280861"",""Id"":""899675df-a0f2-4c35-82af-1678715a4244"",""TimeInterval"":0,""AuthenticationType"":2,""NotificationType"":1,""LastAuthenticatedTimestamp"":""2025-11-01T01:20:07.9745847Z"",""AuthenticatorFlavor"":""Authenticator"",""HashFunction"":""hmacsha1"",""TenantDeviceId"":null,""SecuredPartitionId"":20091,""SecuredKeyId"":7}]","[{""DeviceName"":""NO_DEVICE"",""DeviceToken"":""NO_DEVICE_TOKEN"",""DeviceTag"":""SoftwareTokenActivated"",""PhoneAppVersion"":""NO_PHONE_APP_VERSION"",""OathTokenTimeDrift"":0,""DeviceId"":""0dfd9c70-159e-4aa3-85d1-a03b95280861"",""Id"":""899675df-a0f2-4c35-82af-1678715a4244"",""TimeInterval"":0,""AuthenticationType"":2,""NotificationType"":1,""LastAuthenticatedTimestamp"":""2025-10-25T18:57:35.7547697Z"",""AuthenticatorFlavor"":""Authenticator"",""HashFunction"":""hmacsha1"",""TenantDeviceId"":null,""SecuredPartitionId"":20091,""SecuredKeyId"":7}]","","Included Updated Properties","""StrongAuthenticationPhoneAppDetail""","","","TargetId.UserType","""Member""","","","ActorId.ServicePrincipalNames","""68f70590-117d-4510-87e0-06bc0d4489a8""","","","SPN","""68f70590-117d-4510-87e0-06bc0d4489a8""","","","","","","","User","powell@acme.com","","",""
"2025-11-01 00:08:59","Invite external user","oid","c907be73-9c6e-481c-8b21-b2de8161b40d","","tid","92e5b9cf-c9a2-495d-83b2-3fc82f96324f","","UserManagement","2adde045-82fb-4e22-8a0c-b061b36d354a","Invited Users_2adde045-82fb-4e22-8a0c-b061b36d354a_OIS8W_723148","bb9b8bdb-5310-4dfe-8270-ba44af7d8090","Microsoft Teams Services","","","","","","","","","","","","Invited Users","Add","success","","HOST-E88EF3","","a2ad3ab5-d88d-49dc-8ff8-eca44673b1ea","","","","","","","","","","","","","","","","","","","","","","","","","User","kromero777_freemail1.example#EXT#@acme.onmicrosoft.com","","",""
"2025-11-01 00:07:35","Update StsRefreshTokenValidFrom Timestamp","","","","","","","UserManagement","ce94ba17-53be-4db3-8678-8bca8aabfd16","Directory_ce94ba17-53be-4db3-8678-8bca8aabfd16_ZH828_14878903","","","","","","","","","20.190.152.187","57bc69b8-4569-41db-85c6-112f39e4d1c9","admin@acme.onmicrosoft.com","","","Core Directory","Update","success","","","","21c8a508-dcb1-45f5-8590-258bcfe483c5","","","","","","","","","","","","","","","","","","","","","","","","","User","victoria1.heather3@acme.com","","",""
"2025-11-01 00:07:35","Reset user password","","","","","","","UserManagement","ce94ba17-53be-4db3-8678-8bca8aabfd16","Directory_ce94ba17-53be-4db3-8678-8bca8aabfd16_ZH828_14878894","","","","","","","","","20.190.152.187","57bc69b8-4569-41db-85c6-112f39e4d1c9","admin@acme.onmicrosoft.com","","","Core Directory","Update","success","","","","21c8a508-dcb1-45f5-8590-258bcfe483c5","","","","","","","","","","","","","","","","","","","","","","","","","User","victoria1.heather3@acme.com","","",""
"2025-11-01 00:07:35","Update PasswordProfile","","","","","","","UserManagement","ce94ba17-53be-4db3-8678-8bca8aabfd16","Directory_ce94ba17-53be-4db3-8678-8bca8aabfd16_ZH828_14878491","","","","","","","","","20.190.152.187","57bc69b8-4569-41db-85c6-112f39e4d1c9","admin@acme.onmicrosoft.com","","","Core Directory","Update","success","","","","21c8a508-dcb1-45f5-8590-258bcfe483c5","ForceChangePassword","""False""","""True""","","Password","","","","","","","","","","","","","","","","","","","","User","victoria1.heather3@acme.com","","",""
"2025-11-01 00:07:35","Update user","UserType","Member","","","","","UserManagement","ce94ba17-53be-4db3-8678-8bca8aabfd16","Directory_ce94ba17-53be-4db3-8678-8bca8aabfd16_ZH828_14878479","","","","","","","","","20.190.152.187","57bc69b8-4569-41db-85c6-112f39e4d1c9","admin@acme.onmicrosoft.com","","","Core Directory","Update","success","","","","21c8a508-dcb1-45f5-8590-258bcfe483c5","StsRefreshTokensValidFrom","[""2025-11-01T00:07:35Z""]","[""2025-10-30T23:40:54Z""]","","Included Updated Properties","""StsRefreshTokensValidFrom""","","","TargetId.UserType","""Member""","","","","","","","","","","","","","","","User","victoria1.heather3@acme.com","","",""
"2025-11-01 00:07:35","Update PasswordProfile","","","","","","","UserManagement","ce94ba17-53be-4db3-8678-8bca8aabfd16","Directory_ce94ba17-53be-4db3-8678-8bca8aabfd16_ZH828_14877887","","","","","","","","","20.190.152.187","57bc69b8-4569-41db-85c6-112f39e4d1c9","admin@acme.onmicrosoft.com","","","Core Directory","Update","success","","","","21c8a508-dcb1-45f5-8590-258bcfe483c5","ForceChangePassword","""True""","""False""","","Password","","","","","","","","","","","","","","","","","","","","User","victoria1.heather3@acme.com","","",""
