"Id","DisplayName","UserPrincipalName","Mail","ProxyAddresses","UserType","CreatedDateTime","CreationType","EmployeeType","MemberOf","AssignedLicensesName","LicenseDetails","OnPremisesSyncEnabled","OnPremisesSamAccountName","ManagedDevices","AccountEnabled","PasswordPolicies","LastSignInDate","LastPasswordChangeDateTime","LastPasswordChangeTimeStampISO"
"beb9c019-a40c-4427-818b-aa867557e368","Ruiz15 Castillo35","ruiz15@contoso.com","ruiz15@contoso.com","smtp:ruiz15@contoso.onmicrosoft.com;SMTP:ruiz15@contoso.com","Member","2016-09-24 12:32:47","","","","Microsoft 365 Mark12 Premium ","","","","","True","None","2025-09-27 15:34:26","2023-12-14 17:40:47","2023-12-14T17:40:47.000Z"
"913664ef-87b3-465b-87a2-1a5689778204","Green22 Evelyn15","patel13@contoso.com","patel13@contoso.com","smtp:patel13@contoso.onmicrosoft.com;SMTP:patel13@contoso.com","Member","2018-03-20 18:32:47","","","","Microsoft 365 Mark12 Premium ","","","","","True","None","2025-09-27 17:39:53","2023-11-11 20:18:51","2023-11-11T20:18:51.000Z"
"50dd1599-6180-4956-8bbd-c3a034100734","Betty12 Foster24 Support","mendoza9@contoso.com","mendoza9@contoso.com","smtp:mendoza9@contoso.onmicrosoft.com;SMTP:mendoza9@contoso.com","Member","2019-02-22 20:20:27","","","","Exchange Online (Plan 1) ","","","","","True","None","2021-01-30 14:08:03","2021-01-30 14:06:31","2021-01-30T14:06:31.000Z"
"f1f8326f-a67b-49bb-851b-7f01ee6a2e65","Amy14 Gary24","parker13@contoso.com","parker13@contoso.com","smtp:parker13@contoso.onmicrosoft.com;SMTP:parker13@contoso.com","Member","2018-06-30 12:27:52","","","","Microsoft 365 Mark12 Premium ","","","","","True","None","2025-09-28 21:20:04","2023-07-20 12:47:12","2023-07-20T12:47:12.000Z"
"a1f9f5fb-3108-46b1-8348-24e023f5f3c0","Roberts10 Watson30","jimenez20@contoso.com","jimenez20@contoso.com","smtp:jimenez20@contoso.onmicrosoft.com;SMTP:jimenez20@contoso.com","Member","2018-07-19 13:17:27","","","","Microsoft 365 Mark12 Premium ","","","","","True","None","2025-09-27 17:03:05","2024-03-13 16:19:21","2024-03-13T16:19:21.000Z"
"bae7b8e1-be0a-4316-8409-91275968faaa","Benjamin13 Sandoval14","benjamin13@contoso.com","benjamin13@contoso.com","SMTP:benjamin13@contoso.com;smtp:benjamin13@contoso.onmicrosoft.com","Member","2020-09-17 20:12:33","","","","Microsoft 365 Mark12 Premium ","","","","","True","None","2025-09-22 03:25:13","2024-11-02 18:56:34","2024-11-02T18:56:34.000Z"
"4f6973d6-e414-4280-8116-a222dfd1fe54","Ronald17 Kim26","ronald17@contoso.com","ronald17@contoso.com","smtp:ronald17@contoso.onmicrosoft.com;SMTP:ronald17@contoso.com","Member","2019-05-10 18:07:27","","","","Microsoft 365 Mark12 Premium ","","","","","True","None","2025-09-29 05:55:25","2025-09-05 13:34:52","2025-09-05T13:34:52.000Z"
"3c41cd5c-05bb-44b5-88e4-26853cd6feda","Heather13 George54","heather13@contoso.com","heather13@contoso.com","smtp:heather13@contoso.onmicrosoft.com;SMTP:heather13@contoso.com","Member","2015-08-02 23:35:25","","","","Microsoft 365 Mark12 Premium ","","","","","True","None","2025-09-27 12:19:43","2023-05-17 14:02:46","2023-05-17T14:02:46.000Z"
"ee3412d5-0111-456a-8720-96fe86356577","Betty12 Accounting","phillips14@contoso.com","phillips14@contoso.com","smtp:kevin22@contoso.com;smtp:accounting@contoso.com;SMTP:phillips14@contoso.com","Member","2018-04-15 17:53:51","","","","Exchange Online (Plan 1) ","","","","","True","None","2025-08-10 10:25:58","2024-03-15 17:40:53","2024-03-15T17:40:53.000Z"
"877f80a3-53b7-48ea-81e7-548ad0470130","Powell18 Betty12","powell18@contoso.com","powell18@contoso.com","smtp:powell18@contoso.onmicrosoft.com;SMTP:powell18@contoso.com","Member","2019-03-05 14:01:45","","","","Exchange Online (Plan 1) ","","","","","True","None","2025-06-20 15:24:40","2023-08-24 16:59:46","2023-08-24T16:59:46.000Z"
"30ba2450-7251-4d9a-8034-0f224798e7c4","Christine13 Ortiz24","christine13@contoso.com","christine13@contoso.com","smtp:christine13@contoso.onmicrosoft.com;SMTP:christine13@contoso.com","Member","2015-08-02 23:35:25","","","","Microsoft 365 Mark12 Premium ","","","","","True","None","2025-09-25 15:24:42","2023-08-27 18:53:40","2023-08-27T18:53:40.000Z"
"7cf62a74-5a0f-488c-8fe1-bb4f5d1be5cc","Cruz16 Ruth25","cruz16@contoso.com","cruz16@contoso.com","SMTP:cruz16@contoso.com;smtp:cruz16@contoso.onmicrosoft.com","Member","2022-03-09 15:03:00","","","","Microsoft 365 Mark12 Premium ","","","","","True","None","2025-09-28 15:52:46","2023-05-28 18:54:16","2023-05-28T18:54:16.000Z"
"2e6bc0f2-ab39-409b-8b51-78ecbeb7ee5d","Patricia12 Paul37","patricia12@contoso.com","patricia12@contoso.com","smtp:patricia12@contoso.onmicrosoft.com;SMTP:patricia12@contoso.com","Member","2015-08-02 23:35:25","","","","Microsoft 365 Mark12 Premium ","","","","","True","None","2025-09-29 01:44:13","2023-05-14 19:58:21","2023-05-14T19:58:21.000Z"
"4ab177b9-c87b-4215-80b7-b2114f196d38","Edwards20 Castillo20","ward13@contoso.com","ward13@contoso.com","SMTP:ward13@contoso.com;smtp:ward13@contoso.onmicrosoft.com","Member","2022-01-30 14:34:23","","","","Exchange Online (Plan 1) ","","","","","True","None","2023-09-29 12:01:44","2023-09-08 19:49:05","2023-09-08T19:49:05.000Z"
