"Date (UTC)","Request ID","User agent","Correlation ID","User ID","User","Username","User type","Cross tenant access type","Incoming token type","Authentication Protocol","Unique token identifier","Original transfer method","Client credential type","Token Protection - Sign In Session","Token Protection - Sign In Session StatusCode","Application","Application ID ","App owner tenant ID","Resource","Resource ID ","Resource tenant ID","Resource owner tenant ID","Home tenant ID","Home tenant name","IP address","Location","Status","Sign-in error code","Failure reason","Client app","Device ID","Browser","Operating System","Compliant","Managed","Join Type","Multifactor authentication result","Multifactor authentication auth method","Multifactor authentication auth detail","Authentication requirement","Sign-in identifier","Session ID","IP address (seen by resource)","Through Global Secure Access","Global Secure Access IP address","Autonomous system  number","Flagged for review","Token issuer type","Incoming token type","Token issuer name","Latency","Conditional Access","Managed Identity type","Associated Resource Id","Federated Token Id","Federated Token Issuer"
"2025-09-29T20:02:59Z","3281a135-2799-42a3-8773-1a6433562281","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.235 Safari/537.36","71cd11f6-5d45-4e04-8ff7-8b9fab145677","b0ec99af-8455-4f4f-8de5-e269274e2e23","External Vendor 2 Admin","sandoval42@contoso.com","member","none","none","none","Y5f0k9cD4kqvrNIVijfDAA","none","none","unbound","1002","External Application 20","c44b4083-3bb0-49c1-b47d-974e53cbdf3c","f8cdef31-a31e-4b4a-93e4-5f571e91255a","Azure Jose25 Manager","8fd36493-8403-4e59-8fac-a463f9d1eff5","063b27d9-43ef-4b3c-88e0-ca84cb74ae45","f8cdef31-a31e-4b4a-93e4-5f571e91255a","063b27d9-43ef-4b3c-88e0-ca84cb74ae45","","40.136.227.209","Larkspur 18, Lake District 20, US","Success","","Other.","Browser","","Chrome 139.0.0","Windows10","FALSE","FALSE","","MFA requirement satisfied by claim in the token","","","Jacob35 authentication","","afc972ef-f43b-4746-8308-fb6908cc6683","","FALSE","","7029","FALSE","Microsoft Entra ID","None","","63","Success","None","","",""
"2025-09-29T20:02:37Z","ebff1a01-b97a-4145-8ecf-d7be74682e6a","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.235 Safari/537.36","0f40eb80-55f7-4004-806a-c34abed05d7c","b0ec99af-8455-4f4f-8de5-e269274e2e23","External Vendor 2 Admin","sandoval42@contoso.com","member","none","none","none","kj3HaiYsnUShhWITTk8AAA","none","none","unbound","1002","Exchange Admin Center","87649801-2ee8-45f2-8780-5e8c645c9d34","f8cdef31-a31e-4b4a-93e4-5f571e91255a","Ruth29 Bailey32","00000003-0000-0000-c000-000000000000","063b27d9-43ef-4b3c-88e0-ca84cb74ae45","f8cdef31-a31e-4b4a-93e4-5f571e91255a","063b27d9-43ef-4b3c-88e0-ca84cb74ae45","","40.136.227.209","Larkspur 18, Lake District 20, US","Success","","Other.","Browser","","Chrome 139.0.0","Windows10","FALSE","FALSE","","MFA requirement satisfied by claim in the token","","","Jacob35 authentication","","afc972ef-f43b-4746-8308-fb6908cc6683","","FALSE","","7029","FALSE","Microsoft Entra ID","None","","72","Success","None","","",""
"2025-09-29T20:02:08Z","900fc52c-a530-4c06-849f-bf0c4d4f73a3","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.235 Safari/537.36 Edg/139.0.0.235","fd358542-14de-499e-8343-65188889d2ba","b0ec99af-8455-4f4f-8de5-e269274e2e23","External Vendor 2 Admin","sandoval42@contoso.com","member","none","none","none","uPhkyRNrmECzNLlU9EuGAA","none","none","unbound","1002","Office365 David37 WCSS-Client","571a182c-fa74-434f-82f8-c68629a1de50","f8cdef31-a31e-4b4a-93e4-5f571e91255a","Ruth29 Bailey32","00000003-0000-0000-c000-000000000000","063b27d9-43ef-4b3c-88e0-ca84cb74ae45","f8cdef31-a31e-4b4a-93e4-5f571e91255a","063b27d9-43ef-4b3c-88e0-ca84cb74ae45","","47.152.64.19","Fairhaven 23, Coastal Region 5, US","Success","","Other.","Browser","","Edge 139.0.0","Windows10","FALSE","FALSE","","MFA requirement satisfied by claim in the token","","","Jacob35 authentication","","a45d256b-81f7-4a63-87db-98813f0970be","","FALSE","","5650","FALSE","Microsoft Entra ID","None","","127","Success","None","","",""
"2025-09-29T20:02:08Z","5ba2da82-9e3a-4224-81f8-6c7187c8dea8","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.235 Safari/537.36 Edg/139.0.0.235","c3dd761d-844e-42d3-8ed0-e8b58dfe68c4","b0ec99af-8455-4f4f-8de5-e269274e2e23","External Vendor 2 Admin","sandoval42@contoso.com","member","none","none","none","M7OEk_2iRUOKAJcJt48wAA","none","none","unbound","1002","Office365 David37 WCSS-Client","571a182c-fa74-434f-82f8-c68629a1de50","f8cdef31-a31e-4b4a-93e4-5f571e91255a","Ruth29 Bailey32","00000003-0000-0000-c000-000000000000","063b27d9-43ef-4b3c-88e0-ca84cb74ae45","f8cdef31-a31e-4b4a-93e4-5f571e91255a","063b27d9-43ef-4b3c-88e0-ca84cb74ae45","","47.152.64.19","Fairhaven 23, Coastal Region 5, US","Success","","Other.","Browser","","Edge 139.0.0","Windows10","FALSE","FALSE","","MFA requirement satisfied by claim in the token","","","Jacob35 authentication","","a45d256b-81f7-4a63-87db-98813f0970be","","FALSE","","5650","FALSE","Microsoft Entra ID","None","","90","Success","None","","",""
"2025-09-29T20:02:08Z","1492d8bf-ccdb-4622-8a53-2e81b0677b46","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.235 Safari/537.36 Edg/139.0.0.235","b56f8690-91e1-4cf9-85c3-36d5c1b57f68","b0ec99af-8455-4f4f-8de5-e269274e2e23","External Vendor 2 Admin","sandoval42@contoso.com","member","none","none","none","GnPIe5GqLkC7lYlXhJmpAA","none","none","unbound","1002","Office365 David37 WCSS-Client","571a182c-fa74-434f-82f8-c68629a1de50","f8cdef31-a31e-4b4a-93e4-5f571e91255a","Office365 David37 WCSS-Server","fc812c10-4c2f-47de-8e9f-54e3e591d0f4","063b27d9-43ef-4b3c-88e0-ca84cb74ae45","","063b27d9-43ef-4b3c-88e0-ca84cb74ae45","","47.152.64.19","Fairhaven 23, Coastal Region 5, US","Success","","Other.","Browser","","Edge 139.0.0","Windows10","FALSE","FALSE","","MFA requirement satisfied by claim in the token","","","Jacob35 authentication","","a45d256b-81f7-4a63-87db-98813f0970be","","FALSE","","5650","FALSE","Microsoft Entra ID","None","","60","Success","None","","",""
"2025-09-29T20:02:00Z","f821942b-e650-44b3-859d-968d818bcb6e","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.235 Safari/537.36 Edg/139.0.0.235 OS/10.0.26100","43ff5d23-da94-46bb-8917-95c335dc1d68","b0ec99af-8455-4f4f-8de5-e269274e2e23","External Vendor 2 Admin","sandoval42@contoso.com","member","none","none","none","2d6u7ptcSkWETYD-Vu4uAA","none","none","unbound","1002","External Application 27","00000006-0000-0ff1-ce00-000000000000","f8cdef31-a31e-4b4a-93e4-5f571e91255a","Martinez51 Patel14 Stephen11 Taylor26","00000002-0000-0000-c000-000000000000","063b27d9-43ef-4b3c-88e0-ca84cb74ae45","f8cdef31-a31e-4b4a-93e4-5f571e91255a","063b27d9-43ef-4b3c-88e0-ca84cb74ae45","","47.152.64.19","Fairhaven 23, Coastal Region 5, US","Success","","Other.","Browser","","Edge 139.0.0","Windows10","FALSE","FALSE","","MFA requirement satisfied by claim in the token","","","Jacob35 authentication","","a45d256b-81f7-4a63-87db-98813f0970be","","FALSE","","5650","FALSE","Microsoft Entra ID","None","","72","Success","None","","",""
"2025-09-29T20:01:57Z","bcc30964-62c3-45d8-82f4-5564061b401f","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.235 Safari/537.36 Edg/139.0.0.235 OS/10.0.26100","09db8abd-a07a-4dfe-847d-5a83220c0ad6","b0ec99af-8455-4f4f-8de5-e269274e2e23","External Vendor 2 Admin","sandoval42@contoso.com","member","none","none","none","moFJxIRnZ0e2qtXCnIhoAA","none","none","unbound","1002","External Application 20","c44b4083-3bb0-49c1-b47d-974e53cbdf3c","f8cdef31-a31e-4b4a-93e4-5f571e91255a","Azure Jose25 Manager","8fd36493-8403-4e59-8fac-a463f9d1eff5","063b27d9-43ef-4b3c-88e0-ca84cb74ae45","f8cdef31-a31e-4b4a-93e4-5f571e91255a","063b27d9-43ef-4b3c-88e0-ca84cb74ae45","","47.152.64.19","Fairhaven 23, Coastal Region 5, US","Success","","Other.","Browser","","Edge 139.0.0","Windows10","FALSE","FALSE","","MFA requirement satisfied by claim in the token","","","Jacob35 authentication","","a45d256b-81f7-4a63-87db-98813f0970be","","FALSE","","5650","FALSE","Microsoft Entra ID","None","","108","Success","None","","",""
"2025-09-29T20:00:57Z","9fc3f8f9-0394-44e9-8f63-06a957f76f86","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.235 Safari/537.36 Edg/139.0.0.235 OS/10.0.26100","9e71aa09-e314-4064-8e53-1b0f7794d256","b0ec99af-8455-4f4f-8de5-e269274e2e23","External Vendor 2 Admin","sandoval42@contoso.com","member","none","none","none","TpBm8f7ObkuRzLiEz6oYAA","none","none","unbound","1002","External Application 20","c44b4083-3bb0-49c1-b47d-974e53cbdf3c","f8cdef31-a31e-4b4a-93e4-5f571e91255a","Azure Jose25 Manager","8fd36493-8403-4e59-8fac-a463f9d1eff5","063b27d9-43ef-4b3c-88e0-ca84cb74ae45","f8cdef31-a31e-4b4a-93e4-5f571e91255a","063b27d9-43ef-4b3c-88e0-ca84cb74ae45","","47.152.64.19","Fairhaven 23, Coastal Region 5, US","Success","","Other.","Browser","","Edge 139.0.0","Windows10","FALSE","FALSE","","MFA requirement satisfied by claim in the token","","","Jacob35 authentication","sandoval42@contoso.com","a45d256b-81f7-4a63-87db-98813f0970be","","FALSE","","5650","FALSE","Microsoft Entra ID","None","","415","Success","None","","",""
"2025-09-29T20:00:55Z","db99442a-ac1e-4a7b-8b50-c767dc748c35","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.235 Safari/537.36 Edg/139.0.0.235 OS/10.0.26100","9e71aa09-e314-4064-8e53-1b0f7794d256","b0ec99af-8455-4f4f-8de5-e269274e2e23","External Vendor 2 Admin","sandoval42@contoso.com","member","none","none","none","fKPJ8yHUQUaffvnU35oEAA","none","none","unbound","1002","External Application 20","c44b4083-3bb0-49c1-b47d-974e53cbdf3c","f8cdef31-a31e-4b4a-93e4-5f571e91255a","Azure Jose25 Manager","8fd36493-8403-4e59-8fac-a463f9d1eff5","063b27d9-43ef-4b3c-88e0-ca84cb74ae45","f8cdef31-a31e-4b4a-93e4-5f571e91255a","063b27d9-43ef-4b3c-88e0-ca84cb74ae45","","47.152.64.19","Fairhaven 23, Coastal Region 5, US","Interrupted","50140","This occurred due to 'Keep me signed in' interrupt when the user was signing in.","Browser","","Edge 139.0.0","Windows10","FALSE","FALSE","","This is an expected part of the login flow, where a user is asked if they want to remain signed into this browser to make further sanchez32 easier. For more details, see https://techcommunity.microsoft.com/t5/microsoft-entra/the-new-azure-ad-sign-in-and-keep-me-signed-in-experiences/td-p/128267","OATH diaz54 code","'+X XXXXXXXX64","Jacob35 authentication","sandoval42@contoso.com","a45d256b-81f7-4a63-87db-98813f0970be","","FALSE","","5650","FALSE","Microsoft Entra ID","None","","100","Success","None","","",""
"2025-09-29T19:59:11Z","f4dd13cb-4c7c-4dbb-8alexander14-a1288765b716","BAV2ROPC","45d847f0-4704-496e-8d38-b4cbe7843dc9","44399f65-c859-4d44-8dec-06440a96a7c5","Patrick22 watson54 Evelyn30","evelyn30@contoso.com","member","none","none","ropc","YCqShTENj0m6v2cqKC4JAA","none","clientAssertion","unbound","1002","Davis27 365 Exchange Ronald35","00000002-0000-0ff1-ce00-000000000000","f8cdef31-a31e-4b4a-93e4-5f571e91255a","Davis27 365 Exchange Ronald35","00000002-0000-0ff1-ce00-000000000000","063b27d9-43ef-4b3c-88e0-ca84cb74ae45","f8cdef31-a31e-4b4a-93e4-5f571e91255a","063b27d9-43ef-4b3c-88e0-ca84cb74ae45","","208.107.48.245","Linden 25, Coastal Region 17, US","Success","","Other.","SMTP","","","","FALSE","FALSE","","","","","Single-factor authentication","evelyn30@contoso.com","b74ed8b8-a6c4-468c-8163-c260a372556f","","FALSE","","11232","FALSE","Microsoft Entra ID","None","","339","Success","None","","",""
