"Activity","ActivityDateTime","AdditionalInfo","CorrelationId","DetectedDateTime","DetectionTimingType","IPAddress","Id","LastUpdatedDateTime","Location","RequestId","RiskDetail","RiskEventType","RiskLevel","RiskState","Source","TokenIssuerType","UserDisplayName","UserId","UserPrincipalName","AdditionalProperties"
"signin","2026-07-24 09:06:50","[{""Key"":""userAgent"",""Value"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:154.0) Gecko/20100101 Firefox/154.0""},{""Key"":""mitreTechniques"",""Value"":""T1090.003,T1078""}]","28647223-9eac-6dea-6a7b-48ba16ddc506","2026-07-24 09:06:50","realtime","45.9.249.58","6e3317c6c307c4b8628e45488fd259160d3b0e301995f13b24169f86ea869088","2026-07-24 09:09:53","Microsoft.Graph.PowerShell.Models.MicrosoftGraphSignInLocation","a9bd8767-e928-4eac-8c11-afd2070f5200","userPassedMFADrivenByRiskBasedPolicy","anonymizedIPAddress","high","remediated","IdentityProtection","AzureAD","Pradeep Gupta","33a120c1-a818-4fd7-8045-c6a29a2bc165","PradeepG@854jpt.onmicrosoft.com","System.Collections.Generic.Dictionary`2[System.String,System.Object]"
"signin","2026-07-24 09:08:33","[{""Key"":""userAgent"",""Value"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:154.0) Gecko/20100101 Firefox/154.0""},{""Key"":""mitreTechniques"",""Value"":""T1090.003,T1078""}]","8dce8314-da0a-9e5f-de5b-f99d8d31cc5e","2026-07-24 09:08:33","realtime","45.9.249.58","ea2356a1cb9ce5eab161779f4ee48ea3ac382d2bb09fff8b89f54fb292761708","2026-07-24 09:10:45","Microsoft.Graph.PowerShell.Models.MicrosoftGraphSignInLocation","7324b990-414c-4b3b-bf25-569ac1a50400","userPassedMFADrivenByRiskBasedPolicy","anonymizedIPAddress","medium","remediated","IdentityProtection","AzureAD","Patti Fernandez","1bd04873-b0e9-4e06-b762-ef4f65f724c9","PattiF@854jpt.onmicrosoft.com","System.Collections.Generic.Dictionary`2[System.String,System.Object]"
"signin","2026-07-24 09:18:26","[{""Key"":""userAgent"",""Value"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:154.0) Gecko/20100101 Firefox/154.0""},{""Key"":""mitreTechniques"",""Value"":""T1090.003,T1078""}]","9547b28e-63e6-4602-a8b2-765de1e7c35f","2026-07-24 09:18:26","realtime","45.9.249.58","7482f00b8848097617e7c1ef0c3f1235e8e4edf162c5e18e00b9f16dcff007d7","2026-07-24 09:20:54","Microsoft.Graph.PowerShell.Models.MicrosoftGraphSignInLocation","19b83c05-0248-47d7-bc39-a027f4ef0400","userPassedMFADrivenByRiskBasedPolicy","anonymizedIPAddress","medium","remediated","IdentityProtection","AzureAD","Patti Fernandez","1bd04873-b0e9-4e06-b762-ef4f65f724c9","PattiF@854jpt.onmicrosoft.com","System.Collections.Generic.Dictionary`2[System.String,System.Object]"
"signin","2026-07-24 09:18:57","[{""Key"":""userAgent"",""Value"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:154.0) Gecko/20100101 Firefox/154.0""},{""Key"":""mitreTechniques"",""Value"":""T1090.003,T1078""}]","faef1dab-4e37-4bca-9a8f-10a11782ae70","2026-07-24 09:18:57","realtime","45.9.249.58","8efb6c436be2f12b036580c2ca745b2dc456ebebfead3ee069634b0df03ca471","2026-07-24 09:21:59","Microsoft.Graph.PowerShell.Models.MicrosoftGraphSignInLocation","c19d0007-5ccd-4a57-9c32-1ef029225e00","userPassedMFADrivenByRiskBasedPolicy","anonymizedIPAddress","medium","remediated","IdentityProtection","AzureAD","Patti Fernandez","1bd04873-b0e9-4e06-b762-ef4f65f724c9","PattiF@854jpt.onmicrosoft.com","System.Collections.Generic.Dictionary`2[System.String,System.Object]"
"signin","2026-07-24 09:19:52","[{""Key"":""userAgent"",""Value"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:154.0) Gecko/20100101 Firefox/154.0""},{""Key"":""mitreTechniques"",""Value"":""T1090.003,T1078""}]","2d9addad-3ea9-4c57-9135-431b5e2895cc","2026-07-24 09:19:52","realtime","45.9.249.58","2a2fcd48dc3005d17c55eb361490708b8201e5d0d152345b020967a691f16ac6","2026-07-24 09:22:05","Microsoft.Graph.PowerShell.Models.MicrosoftGraphSignInLocation","19b83c05-0248-47d7-bc39-a027b0fc0400","userPassedMFADrivenByRiskBasedPolicy","anonymizedIPAddress","medium","remediated","IdentityProtection","AzureAD","Patti Fernandez","1bd04873-b0e9-4e06-b762-ef4f65f724c9","PattiF@854jpt.onmicrosoft.com","System.Collections.Generic.Dictionary`2[System.String,System.Object]"
"signin","2026-07-24 09:49:16","[{""Key"":""userAgent"",""Value"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:154.0) Gecko/20100101 Firefox/154.0""},{""Key"":""mitreTechniques"",""Value"":""T1090.003,T1078""}]","e575dfcb-5c16-693c-f760-2e392165bd25","2026-07-24 09:49:16","realtime","45.9.249.58","7af999d9672747b04ad9f17af78a4c6cabe1fca52eec51c0dfd01f5a10b87243","2026-07-24 09:51:28","Microsoft.Graph.PowerShell.Models.MicrosoftGraphSignInLocation","9739f6d7-673f-4647-a3a9-66c1a85b0000","userPassedMFADrivenByRiskBasedPolicy","anonymizedIPAddress","medium","remediated","IdentityProtection","AzureAD","Patti Fernandez","1bd04873-b0e9-4e06-b762-ef4f65f724c9","PattiF@854jpt.onmicrosoft.com","System.Collections.Generic.Dictionary`2[System.String,System.Object]"
"signin","2026-07-24 09:49:22","[{""Key"":""userAgent"",""Value"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:154.0) Gecko/20100101 Firefox/154.0""},{""Key"":""mitreTechniques"",""Value"":""T1090.003,T1078""}]","e575dfcb-5c16-693c-f760-2e392165bd25","2026-07-24 09:49:22","realtime","45.9.249.58","ba2d8d52dc7fdb5404b7c55f13dd6f0f12d04da395b17ce88cb6960a35df2dd4","2026-07-24 09:51:53","Microsoft.Graph.PowerShell.Models.MicrosoftGraphSignInLocation","bb5a0caa-498c-4e7f-b38e-fd90b1cc0500","userPassedMFADrivenByRiskBasedPolicy","anonymizedIPAddress","medium","remediated","IdentityProtection","AzureAD","Patti Fernandez","1bd04873-b0e9-4e06-b762-ef4f65f724c9","PattiF@854jpt.onmicrosoft.com","System.Collections.Generic.Dictionary`2[System.String,System.Object]"
"signin","2026-07-24 08:28:05","[{""Key"":""userAgent"",""Value"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:154.0) Gecko/20100101 Firefox/154.0""},{""Key"":""mitreTechniques"",""Value"":""T1090.003,T1078""}]","c6004f6a-a40b-61a2-0fa2-779a3f03463d","2026-07-24 08:28:05","realtime","129.232.209.234","a44eb904200f18a5eba3a3aaf7bab85595bb88cd92da6e6b7f50d77eb27e4cd7","2026-07-24 08:30:42","Microsoft.Graph.PowerShell.Models.MicrosoftGraphSignInLocation","2a2aedfe-f8f6-4726-b518-0a981f291700","none","anonymizedIPAddress","high","atRisk","IdentityProtection","AzureAD","Diego Siciliani","c561afd8-dc7e-4684-b3d2-95f9a71db908","DiegoS@854jpt.onmicrosoft.com","System.Collections.Generic.Dictionary`2[System.String,System.Object]"
"signin","2026-07-24 09:06:06","[{""Key"":""userAgent"",""Value"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:154.0) Gecko/20100101 Firefox/154.0""},{""Key"":""mitreTechniques"",""Value"":""T1090.003,T1078""}]","28647223-9eac-6dea-6a7b-48ba16ddc506","2026-07-24 09:06:06","realtime","45.9.249.58","a2ae969398a25c5414f6450f2efedef3b60bfd7390eefac5f835b08541e61645","2026-07-24 09:09:03","Microsoft.Graph.PowerShell.Models.MicrosoftGraphSignInLocation","f59df153-b8dc-4c86-881c-29e7dc460400","none","anonymizedIPAddress","high","atRisk","IdentityProtection","AzureAD","Pradeep Gupta","33a120c1-a818-4fd7-8045-c6a29a2bc165","PradeepG@854jpt.onmicrosoft.com","System.Collections.Generic.Dictionary`2[System.String,System.Object]"
"signin","2026-07-24 09:06:45","[{""Key"":""userAgent"",""Value"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:154.0) Gecko/20100101 Firefox/154.0""},{""Key"":""mitreTechniques"",""Value"":""T1090.003,T1078""}]","28647223-9eac-6dea-6a7b-48ba16ddc506","2026-07-24 09:06:45","realtime","45.9.249.58","3f97a385dcc6fe8414b5b79ba37a44b8ac20ce11c5e3b8225c0e57ff079a2e70","2026-07-24 09:09:07","Microsoft.Graph.PowerShell.Models.MicrosoftGraphSignInLocation","ea876796-4af4-439d-9cc2-04e3182f5500","userPassedMFADrivenByRiskBasedPolicy","anonymizedIPAddress","high","remediated","IdentityProtection","AzureAD","Pradeep Gupta","33a120c1-a818-4fd7-8045-c6a29a2bc165","PradeepG@854jpt.onmicrosoft.com","System.Collections.Generic.Dictionary`2[System.String,System.Object]"
