"Id","DisplayName","UserPrincipalName","Mail","ProxyAddresses","UserType","CreatedDateTime","CreationType","EmployeeType","MemberOf","AssignedLicensesName","LicenseDetails","OnPremisesSyncEnabled","OnPremisesSamAccountName","ManagedDevices","AccountEnabled","PasswordPolicies","LastSignInDate","LastPasswordChangeDateTime","LastPasswordChangeTimeStampISO"
"401c6ceb-1ad3-4ed6-939c-30e8be603cd0","Adele Vance","AdeleV@854jpt.onmicrosoft.com","AdeleV@854jpt.onmicrosoft.com","SMTP:AdeleV@854jpt.onmicrosoft.com","Member","2025-05-22 08:42:54",,,,"Microsoft 365 E5 Developer (without Windows and Audio Conferencing) ",,,,,"True",,"2026-07-22 03:27:48","2025-07-03 19:02:52","2025-07-03T19:02:52.000Z"
"22bd2808-791f-4374-a752-a8bdf7b2eae9","Alex Wilber","AlexW@854jpt.onmicrosoft.com","AlexW@854jpt.onmicrosoft.com","SMTP:AlexW@854jpt.onmicrosoft.com","Member","2025-05-22 08:42:56",,,,"Microsoft 365 E5 Developer (without Windows and Audio Conferencing) ",,,,,"True",,"2026-07-22 03:28:25","2025-07-03 19:02:52","2025-07-03T19:02:52.000Z"
"2da85e45-0c0e-4f90-8587-f770888de158","Vince V","bitpusher@854jpt.onmicrosoft.com","bitpusher@854jpt.onmicrosoft.com","smtp:t1xb0@854jpt.onmicrosoft.com;SMTP:bitpusher@854jpt.onmicrosoft.com","Member","2025-05-22 04:57:05",,,,"Microsoft 365 E5 Developer (without Windows and Audio Conferencing) ",,,,,"True",,"2026-07-24 08:47:22","2026-04-17 01:58:49","2026-04-17T01:58:49.000Z"
"c561afd8-dc7e-4684-b3d2-95f9a71db908","Diego Siciliani","DiegoS@854jpt.onmicrosoft.com","DiegoS@854jpt.onmicrosoft.com","SMTP:DiegoS@854jpt.onmicrosoft.com","Member","2025-05-22 08:42:57",,,,"Microsoft 365 E5 Developer (without Windows and Audio Conferencing) ",,,,,"True",,"2026-07-24 08:29:40","2025-07-03 19:02:53","2025-07-03T19:02:53.000Z"
"fabcead3-aa74-4cc3-b954-f4b356165141","Grady Archie","GradyA@854jpt.onmicrosoft.com","GradyA@854jpt.onmicrosoft.com","SMTP:GradyA@854jpt.onmicrosoft.com","Member","2025-05-22 08:42:58",,,,"Microsoft 365 E5 Developer (without Windows and Audio Conferencing) ",,,,,"True",,"2026-07-24 07:51:23","2025-07-03 19:02:54","2025-07-03T19:02:54.000Z"
"ae5f28c3-0f3a-4e8a-a456-0380be54c4cd","Henrietta Mueller","HenriettaM@854jpt.onmicrosoft.com","HenriettaM@854jpt.onmicrosoft.com","SMTP:HenriettaM@854jpt.onmicrosoft.com","Member","2025-05-22 08:43:00",,,,"Microsoft 365 E5 Developer (without Windows and Audio Conferencing) ",,,,,"True",,"2026-07-22 03:31:23","2025-07-03 19:02:54","2025-07-03T19:02:54.000Z"
"555efafb-9987-4801-a960-9c0f0ed52894","Isaiah Langer","IsaiahL@854jpt.onmicrosoft.com","IsaiahL@854jpt.onmicrosoft.com","SMTP:IsaiahL@854jpt.onmicrosoft.com","Member","2025-05-22 08:43:02",,,,"Microsoft 365 E5 Developer (without Windows and Audio Conferencing) ",,,,,"True",,"2026-07-22 03:31:52","2025-07-03 19:02:55","2025-07-03T19:02:55.000Z"
"877cf08d-68bf-4fbc-beb1-d46c26092f40","Johanna Lorenz","JohannaL@854jpt.onmicrosoft.com","JohannaL@854jpt.onmicrosoft.com","SMTP:JohannaL@854jpt.onmicrosoft.com","Member","2025-05-22 08:43:03",,,,"Microsoft 365 E5 Developer (without Windows and Audio Conferencing) ",,,,,"True",,"2026-07-22 03:32:20","2025-07-03 19:02:56","2025-07-03T19:02:56.000Z"
"e9f32a80-3fd0-4ac1-af20-87b67cce4963","Joni Sherman","JoniS@854jpt.onmicrosoft.com","JoniS@854jpt.onmicrosoft.com","SMTP:JoniS@854jpt.onmicrosoft.com","Member","2025-05-22 08:43:03",,,,"Microsoft 365 E5 Developer (without Windows and Audio Conferencing) ",,,,,"True",,"2026-07-22 03:33:10","2025-07-03 19:02:56","2025-07-03T19:02:56.000Z"
"a6628d6a-2493-43f1-970d-665e45b2e6d5","Lee Gu","LeeG@854jpt.onmicrosoft.com","LeeG@854jpt.onmicrosoft.com","SMTP:LeeG@854jpt.onmicrosoft.com","Member","2025-05-22 08:42:48",,,,"Microsoft 365 E5 Developer (without Windows and Audio Conferencing) ",,,,,"True",,"2026-07-22 03:33:30","2025-07-03 19:02:49","2025-07-03T19:02:49.000Z"
