"UserId","Operation","Recordtypes","AppAccessContext","CreationTime","Id","OrganizationId","ResultStatus","UserKey","UserType","Version","Workload","ClientIP","AppId","AuthType","ClientAppId","ClientIPAddress","ClientInfoString","ExternalAccess","HostAppId","InternalLogonType","LogonType","LogonUserSid","MailboxGuid","MailboxOwnerSid","MailboxOwnerUPN","OrganizationName","OriginatingServer","TokenObjectId","TokenTenantId","TokenType","Item","ObjectId","AppPoolName","CorrelationID","Parameters","RequestId","SessionId","SaveToSentItems","ActorInfoString","ModifiedProperties","AzureActiveDirectoryEventType","ExtendedProperties","Actor","ActorContextId","ActorIpAddress","InterSystemsId","IntraSystemId","SupportTicketId","Target","TargetContextId","ApplicationId","DeviceProperties","ErrorNumber","LogonError"
"bennett4@consolidatedmsgr.com","UserLoggedIn","15",,"2025-12-17T18:53:00","81ce8f3f-4amanda-420c-8091-d8a3f7ad3c75","9fc57536-e8d3-4117-8537-fc27bc714352","Success","16040d97-c0b3-43ad-8158-1c920732fd67","0","1","AzureActiveDirectory","2a05:541:116:5e33:4aec:2433:45e1:ce28",,,,,,,,,,,,,,,,,,,,"4765445b-32c6-49b0-83e6-1d93765276ca",,,,,,,,"System.Object[]","1","System.Object[]","System.Object[]","9fc57536-e8d3-4117-8537-fc27bc714352","2a05:541:116:5e33:4aec:2433:45e1:ce28","02d03055-704d-46e2-8787-72addf63b989","81ce8f3f-4amanda-420c-8091-d8a3f7ad3c75","","System.Object[]","9fc57536-e8d3-4117-8537-fc27bc714352","4765445b-32c6-49b0-83e6-1d93765276ca","System.Object[]","50140",
"bennett4@consolidatedmsgr.com","UserLoggedIn","15",,"2025-12-17T18:53:00","c59bc046-a41f-4d07-8257-beff86053b68","9fc57536-e8d3-4117-8537-fc27bc714352","Success","16040d97-c0b3-43ad-8158-1c920732fd67","0","1","AzureActiveDirectory","2a05:541:116:5e33:4aec:2433:45e1:ce28",,,,,,,,,,,,,,,,,,,,"4765445b-32c6-49b0-83e6-1d93765276ca",,,,,,,,"System.Object[]","1","System.Object[]","System.Object[]","9fc57536-e8d3-4117-8537-fc27bc714352","2a05:541:116:5e33:4aec:2433:45e1:ce28","02d03055-704d-46e2-8787-72addf63b989","c59bc046-a41f-4d07-8257-beff86053b68","","System.Object[]","9fc57536-e8d3-4117-8537-fc27bc714352","4765445b-32c6-49b0-83e6-1d93765276ca","System.Object[]","0",
"Not Available","UserLoggedIn","15",,"2025-12-17T18:52:59","be079011-c3af-430f-823d-150447635877","9fc57536-e8d3-4117-8537-fc27bc714352","Success","16040d97-c0b3-43ad-8158-1c920732fd67","4","1","AzureActiveDirectory","2a05:541:116:5e33:4aec:2433:45e1:ce28",,,,,,,,,,,,,,,,,,,,"4765445b-32c6-49b0-83e6-1d93765276ca",,,,,,,,"System.Object[]","1","System.Object[]","System.Object[]","9fc57536-e8d3-4117-8537-fc27bc714352","2a05:541:116:5e33:4aec:2433:45e1:ce28","02d03055-704d-46e2-8787-72addf63b989","be079011-c3af-430f-823d-150447635877","","System.Object[]","9fc57536-e8d3-4117-8537-fc27bc714352","4765445b-32c6-49b0-83e6-1d93765276ca","System.Object[]","0",
"Not Available","UserLoggedIn","15",,"2025-12-17T18:52:34","c3ee2bc3-50ae-46e2-84ee-a3a412da4c9c","9fc57536-e8d3-4117-8537-fc27bc714352","Success","16040d97-c0b3-43ad-8158-1c920732fd67","4","1","AzureActiveDirectory","2a05:541:116:5e33:4aec:2433:45e1:ce28",,,,,,,,,,,,,,,,,,,,"4765445b-32c6-49b0-83e6-1d93765276ca",,,,,,,,"System.Object[]","1","System.Object[]","System.Object[]","9fc57536-e8d3-4117-8537-fc27bc714352","2a05:541:116:5e33:4aec:2433:45e1:ce28","02d03055-704d-46e2-8787-72addf63b989","c3ee2bc3-50ae-46e2-84ee-a3a412da4c9c","","System.Object[]","9fc57536-e8d3-4117-8537-fc27bc714352","4765445b-32c6-49b0-83e6-1d93765276ca","System.Object[]","0",
"bennett4@consolidatedmsgr.com","UserLoginFailed","15",,"2025-12-17T18:52:25","356e9ed8-8fc5-4212-8f09-fe2890b3978f","9fc57536-e8d3-4117-8537-fc27bc714352","Success","16040d97-c0b3-43ad-8158-1c920732fd67","0","1","AzureActiveDirectory","2a05:541:116:5e33:4aec:2433:45e1:ce28",,,,,,,,,,,,,,,,,,,,"4765445b-32c6-49b0-83e6-1d93765276ca",,,,,,,,"System.Object[]","1","System.Object[]","System.Object[]","9fc57536-e8d3-4117-8537-fc27bc714352","2a05:541:116:5e33:4aec:2433:45e1:ce28","02d03055-704d-46e2-8787-72addf63b989","356e9ed8-8fc5-4212-8f09-fe2890b3978f","","System.Object[]","9fc57536-e8d3-4117-8537-fc27bc714352","4765445b-32c6-49b0-83e6-1d93765276ca","System.Object[]","50074","UserStrongAuthClientAuthNRequiredInterrupt"
"bennett4@consolidatedmsgr.com","UserLoggedIn","15",,"2025-12-17T18:48:46","201b8dab-2a52-4cfe-8de4-410dcb80db12","9fc57536-e8d3-4117-8537-fc27bc714352","Success","16040d97-c0b3-43ad-8158-1c920732fd67","0","1","AzureActiveDirectory","2a05:541:116:d573:cf62:ebf1:5b13:efa2",,,,,,,,,,,,,,,,,,,,"4765445b-32c6-49b0-83e6-1d93765276ca",,,,,,,,"System.Object[]","1","System.Object[]","System.Object[]","9fc57536-e8d3-4117-8537-fc27bc714352","2a05:541:116:d573:cf62:ebf1:5b13:efa2","2473fe8a-aa95-43f2-8576-6593e4d6b5aa","201b8dab-2a52-4cfe-8de4-410dcb80db12","","System.Object[]","9fc57536-e8d3-4117-8537-fc27bc714352","4765445b-32c6-49b0-83e6-1d93765276ca","System.Object[]","0",
"bennett4@consolidatedmsgr.com","UserLoggedIn","15",,"2025-12-17T18:48:45","f5e0072f-4681-4611-816d-b17dd15a5737","9fc57536-e8d3-4117-8537-fc27bc714352","Success","16040d97-c0b3-43ad-8158-1c920732fd67","0","1","AzureActiveDirectory","2a05:541:116:d573:cf62:ebf1:5b13:efa2",,,,,,,,,,,,,,,,,,,,"4765445b-32c6-49b0-83e6-1d93765276ca",,,,,,,,"System.Object[]","1","System.Object[]","System.Object[]","9fc57536-e8d3-4117-8537-fc27bc714352","2a05:541:116:d573:cf62:ebf1:5b13:efa2","2473fe8a-aa95-43f2-8576-6593e4d6b5aa","f5e0072f-4681-4611-816d-b17dd15a5737","","System.Object[]","9fc57536-e8d3-4117-8537-fc27bc714352","4765445b-32c6-49b0-83e6-1d93765276ca","System.Object[]","50140",
"Not Available","UserLoggedIn","15",,"2025-12-17T18:48:45","6ceb2b13-ee88-4c49-8983-4b289bfbca9e","9fc57536-e8d3-4117-8537-fc27bc714352","Success","16040d97-c0b3-43ad-8158-1c920732fd67","4","1","AzureActiveDirectory","2a05:541:116:d573:cf62:ebf1:5b13:efa2",,,,,,,,,,,,,,,,,,,,"4765445b-32c6-49b0-83e6-1d93765276ca",,,,,,,,"System.Object[]","1","System.Object[]","System.Object[]","9fc57536-e8d3-4117-8537-fc27bc714352","2a05:541:116:d573:cf62:ebf1:5b13:efa2","2473fe8a-aa95-43f2-8576-6593e4d6b5aa","6ceb2b13-ee88-4c49-8983-4b289bfbca9e","","System.Object[]","9fc57536-e8d3-4117-8537-fc27bc714352","4765445b-32c6-49b0-83e6-1d93765276ca","System.Object[]","0",
"Not Available","UserLoggedIn","15",,"2025-12-17T18:48:37","3c3ccfec-f6b9-4890-879d-0c045c50b650","9fc57536-e8d3-4117-8537-fc27bc714352","Success","16040d97-c0b3-43ad-8158-1c920732fd67","4","1","AzureActiveDirectory","2a05:541:116:d573:cf62:ebf1:5b13:efa2",,,,,,,,,,,,,,,,,,,,"4765445b-32c6-49b0-83e6-1d93765276ca",,,,,,,,"System.Object[]","1","System.Object[]","System.Object[]","9fc57536-e8d3-4117-8537-fc27bc714352","2a05:541:116:d573:cf62:ebf1:5b13:efa2","2473fe8a-aa95-43f2-8576-6593e4d6b5aa","3c3ccfec-f6b9-4890-879d-0c045c50b650","","System.Object[]","9fc57536-e8d3-4117-8537-fc27bc714352","4765445b-32c6-49b0-83e6-1d93765276ca","System.Object[]","0",
"Not Available","UserLoggedIn","15",,"2025-12-17T18:48:28","5716cc05-d49b-4dbd-82ff-a4284653ab48","9fc57536-e8d3-4117-8537-fc27bc714352","Success","16040d97-c0b3-43ad-8158-1c920732fd67","4","1","AzureActiveDirectory","2a05:541:116:d573:cf62:ebf1:5b13:efa2",,,,,,,,,,,,,,,,,,,,"4765445b-32c6-49b0-83e6-1d93765276ca",,,,,,,,"System.Object[]","1","System.Object[]","System.Object[]","9fc57536-e8d3-4117-8537-fc27bc714352","2a05:541:116:d573:cf62:ebf1:5b13:efa2","2473fe8a-aa95-43f2-8576-6593e4d6b5aa","5716cc05-d49b-4dbd-82ff-a4284653ab48","","System.Object[]","9fc57536-e8d3-4117-8537-fc27bc714352","4765445b-32c6-49b0-83e6-1d93765276ca","System.Object[]","0",
